wl,k
0.667,3.0317254
0.714,3.1836237
0.769,3.2717366
0.833,3.3007447
0.909,3.2405736
1.00,3.2418121
1.05,3.2989913
1.11,3.3609902
1.18,3.4342207
1.25,3.5123265
1.33,3.5906589
1.43,3.7122171
1.54,3.8077018
1.67,3.8609249
1.82,3.8823682
2.00,3.8164244
2.11,3.7288987
2.22,3.6030774
2.35,3.3990496
2.50,3.1898829
2.67,3.0741948
2.86,3.5829978
3.08,4.4865443
3.33,5.4204022
3.64,6.2578349
4.00,7.0189943
4.44,7.7291731
5.00,8.7896083
5.71,10.536270
6.67,12.895769
8.00,15.799043
10.0,19.664351
11.1,21.789718
12.5,24.380236
14.3,27.621553
16.7,31.846917
20.0,37.605191
22.2,41.326081
25.0,45.839465
28.6,51.475157
33.3,58.046709
40.0,65.925258
44.4,70.562709
50.0,75.809491
57.1,81.834224
66.7,88.904473
80.0,97.484039
100,108.42373
125,120.07897
154,131.88977
200,148.43379
